"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"1494",47533,"R5471","Restaurant (Liquor)","Active","WHISKEY FLATS, INC.","WHISKEY FLATS, INC.","3156 WILLITS RD, PHILADELPHIA PA 19136-1116","3156 WILLITS RD, PHILADELPHIA PA 19136-1116",NA,"JOHN W NEWMAN","Philadelphia County","Philadelphia City","Nov 3,2025","Oct 31,2026",-75.0146052,40.0570058
"1495",67269,"R4397","Restaurant (Liquor)","Active","DRC SPRUCE STREET, LLC","DRC SPRUCE STREET, LLC","2201 SPRUCE ST, PHILADELPHIA PA 19103-5517","2201 SPRUCE ST, PHILADELPHIA PA 19103-5517",NA,"EDWARD PETER HACKETT, JR","Philadelphia County","Philadelphia City","Jul 28,2025","Oct 31,2026",-75.1779684,39.9487654
"1496",122239,"R5221","Restaurant (Liquor)","Active","35 SOUTH STREET VENTURES LLC","35 SOUTH STREET VENTURES LLC","35 S 2ND ST, PHILADELPHIA PA 19106-3036","35 S 2ND ST, PHILADELPHIA PA 19106-3036","S & R REAL ESTATE MANAGEMENT CORPORATION","NICOLE R MASSARO","Philadelphia County","Philadelphia City","Dec 11,2025","Oct 31,2026",-75.1438482,39.9489438
"1497",61227,"R5332","Restaurant (Liquor)","Active","1900 CAFE INC","1900 CAFE INC","1900 S 21ST ST, PHILADELPHIA PA 19145-2721","1900 S 21ST ST, PHILADELPHIA PA 19145-2721",NA,"TSEGA BERIH","Philadelphia County","Philadelphia City","Jul 31,2025","Oct 31,2026",-75.180851,39.9282398
"1498",59802,"R15656","Restaurant (Liquor)","Active","1065 MARIA INC","1065 MARIA INC","1065-1071 E ERIE AVE, PHILADELPHIA PA 19124-5435","1065-1071 E ERIE AVE, PHILADELPHIA PA 19124-5435",NA,"JOSE SANCHEZ","Philadelphia County","Philadelphia City","Aug 6,2025","Oct 31,2026",-75.1075172,40.0056917
"1499",93945,"R2917","Restaurant (Liquor)","Active","3BM1 AMADA LLC","AMADA","217-219 CHESTNUT ST, PHILADELPHIA PA 19106-2812","217-219 CHESTNUT ST, PHILADELPHIA PA 19106-2812","TJJ REAL CO LLC","JENNIFER A CAMELA","Philadelphia County","Philadelphia City","Jul 8,2025","Oct 31,2026",-75.1448668,39.9487227
"1500",72627,"R8582","Restaurant (Liquor)","Active","LA ROSA LINDA INC","LA ROSA LINDA INC","4565 TORRESDALE AVE, PHILADELPHIA PA 19124-3449","4565 TORRESDALE AVE, PHILADELPHIA PA 19124-3449",NA,"NANCI ALBERTO CASTRO","Philadelphia County","Philadelphia City","Aug 20,2025","Oct 31,2026",-75.0801849,40.0098405
"1501",69118,"R9170","Restaurant (Liquor)","Active","BOURBON & BRANCH LLC","BOURBON & BRANCH LLC","705 N 2ND ST, PHILADELPHIA PA 19123-3007","705 N 2ND ST, PHILADELPHIA PA 19123-3007",NA,"ALEJANDRO M CARBONELL","Philadelphia County","Philadelphia City","Aug 10,2026","Oct 31,2026",-75.1408165,39.9620468
"1502",127428,"R3083","Restaurant (Liquor)","Active","1433 PHILLY INC","1433 PHILLY INC","1433 ARCH ST, PHILADELPHIA PA 19102-1507","1433 ARCH ST, PHILADELPHIA PA 19102-1507","CHARLES S WEINER","MATTHEW R DAVIS","Philadelphia County","Philadelphia City","May 8,2026","Oct 31,2026",-75.164641,39.9547147
"1503",27699,"R5244","Restaurant (Liquor)","Active","NEW DELHI INDIAN RESTAURANT, INC.","NEW DELHI INDIAN RESTAURANT, INC.","4004 CHESTNUT ST, PHILADELPHIA PA 19104-4520","4004 CHESTNUT ST, PHILADELPHIA PA 19104-4520",NA,"AMRIK D SINGH","Philadelphia County","Philadelphia City","Aug 18,2025","Oct 31,2026",-75.202644,39.9554096
"1504",58057,"R9018","Restaurant (Liquor)","Active","GINGER SUSAN INC","GINGER SUSAN INC","2546 E LEHIGH AVE, PHILADELPHIA PA 19125-3834","2546 E LEHIGH AVE, PHILADELPHIA PA 19125-3834","EAST LEHIGH AVENUE LLC","JAMES MAHON","Philadelphia County","Philadelphia City","Aug 14,2025","Oct 31,2026",-75.1161565,39.9797348
"1505",72658,"R4431","Restaurant (Liquor)","Active","MAIN ST PUB LLC","RYANS PUB","4301 MAIN ST, PHILADELPHIA PA 19127-1504","4322 MAIN ST PO BOX 4603, PHILADELPHIA PA 19127-1421",NA,"Paul A Ryan, Jr","Philadelphia County","Philadelphia City","Sep 10,2025","Oct 31,2026",-75.2219166,40.0249436
"1506",81153,"R833","Restaurant (Liquor)","Active","HENNEY C., INC.","CENTERFOLDS","1602 W PASSYUNK AVE, PHILADELPHIA PA 19145-3823","1602 W PASSYUNK AVE, PHILADELPHIA PA 19145-3823",NA,"SOKUN TOUCH","Philadelphia County","Philadelphia City","Sep 12,2025","Oct 31,2026",-75.1731809,39.9246299
"1507",69025,"R904","Restaurant (Liquor)","Active","RAINER 516 INC","RAINER 516 INC","416 S 56TH ST, PHILADELPHIA PA 19143-1304","416 S 56TH ST, PHILADELPHIA PA 19143-1304",NA,"SOKLEANG TOP","Philadelphia County","Philadelphia City","May 15,2026","Oct 31,2026",-75.2345433,39.9541064
"1508",104658,"R49","Restaurant (Liquor)","Active","IEJMUTH INC","IEJMUTH INC","5701 WOODLAND AVE, PHILADELPHIA PA 19143-5915","5701 WOODLAND AVE, PHILADELPHIA PA 19143-5915","SAVANN MUTH AND SAMNANG NGOY","SAVANN MUTH","Philadelphia County","Philadelphia City","Aug 18,2025","Oct 31,2026",-75.2235779,39.9334235
"1509",66393,"R9006","Restaurant (Liquor)","Active","FISHTOWN TAVERN LLC","FISHTOWN TAVERN LLC","1301 FRANKFORD AVE, PHILADELPHIA PA 19125-3203","1301 FRANKFORD AVE, PHILADELPHIA PA 19125-3203","CURTIS E LARGE","ELIZABETH SHEMESH","Philadelphia County","Philadelphia City","Jul 1,2026","Oct 31,2026",-75.1342915,39.9705483
"1510",60489,"R2323","Restaurant (Liquor)","Active","SALONA INC","SALONA INC","3501-3511 LANCASTER AVE, PHILADELPHIA PA 19104-4915","3501-3511 LANCASTER AVE, PHILADELPHIA PA 19104-4915",NA,"ANGELOS PAPADOPOULOS","Philadelphia County","Philadelphia City","Jul 11,2025","Oct 31,2026",-75.1926572,39.9582587
"1511",42159,"R11419","Restaurant (Liquor)","Active","MDC ENTERPRISES, INC.","MDC ENTERPRISES, INC.","384 SHURS LN, PHILADELPHIA PA 19128-3534","384 SHURS LN, PHILADELPHIA PA 19128-3534",NA,"CHRISTIAN FERRARO","Philadelphia County","Philadelphia City","Oct 6,2025","Oct 31,2026",-75.2130136,40.0254542
"1512",62042,"R470","Restaurant (Liquor)","Active","EL COSTENO, INC.","EL COSTENO, INC.","940 S 9TH ST, PHILADELPHIA PA 19147-3935","940 S 9TH ST, PHILADELPHIA PA 19147-3935",NA,"ERNESTO ATRISCO","Philadelphia County","Philadelphia City","Nov 17,2025","Oct 31,2026",-75.158291,39.937768
"1513",109551,"R3242","Restaurant (Liquor)","Active","FIRST SPACE LLC","FIRST SPACE LLC","2519 FRANKFORD AVE, PHILADELPHIA PA 19125-1708","1930 E HAZZARD ST, PHILADELPHIA PA 19125","THIRD SPACE RESTAURANT GROUP LLC","FREDERICK M BEEBE","Philadelphia County","Philadelphia City","Aug 6,2026","Oct 31,2026",-75.1251824,39.9835323
"1514",133620,"R16676","Restaurant (Liquor)","Active","HARBISON SUPERMARKETS LLC","SHOPRITE OF BRIDGE & HARBISON #495","5597 TULIP ST UNIT 1, PHILADELPHIA PA 19124","5597 TULIP ST UNIT 1, PHILADELPHIA PA 19124","BRE WISSINOMING LLC 417 WISSINOMING TIC LLC 3740 WISSINOMING TIC LLC","RACQUEL S SMITH-TYSON","Philadelphia County","Philadelphia City","Jun 30,2026","Oct 31,2026",-75.0673203,40.0122406
"1515",35402,"R7605","Restaurant (Liquor)","Active","POPI'S RESTAURANT, INC.","POPI'S RESTAURANT, INC.","3120 S 20TH ST, PHILADELPHIA PA 19145-5702","3120 S 20TH ST, PHILADELPHIA PA 19145-5702",NA,"KRISTEN EDWARDS","Philadelphia County","Philadelphia City","Jul 15,2025","Oct 31,2026",-75.1827197,39.9115927
"1516",73326,"R455","Restaurant (Liquor)","Active","WEST BANK HOSPITALITY INC","WEST BANK HOSPITALITY INC","4629-31 BALTIMORE AVE, PHILADELPHIA PA 19143-2148","1500 JFK BLVD STE 900, PHILADELPHIA PA 19102-1742",NA,"VERONICA E MOYER","Philadelphia County","Philadelphia City","Nov 20,2025","Oct 31,2026",-75.216885,39.9489019
"1517",118493,"R1142","Restaurant (Liquor)","Active","FLIGHT CLUB WALNUT LLC","FLIGHT CLUB","1417 WALNUT ST, PHILADELPHIA PA 19102","1417 WALNUT ST, PHILADELPHIA PA 19102","WASHINGTON SQUARE PARTNERS LP","MICHAEL T KURTZ","Philadelphia County","Philadelphia City","Sep 16,2025","Oct 31,2026",-75.1650706,39.9495637
"1518",73105,"R1987","Restaurant (Liquor)","Active","BG 1559 INC","BG 1559 INC","1559 E HUNTING PARK AVE, PHILADELPHIA PA 19124-4937","7053 TERMINAL SQ, UPPER DARBY PA 19082-2217",NA,"PETER LEE","Philadelphia County","Philadelphia City","Aug 6,2025","Oct 31,2026",-75.0962366,40.0102833
"1519",65259,"R1466","Restaurant (Liquor)","Active","JENNIFER TAVERN INC","JENNIFER TAVERN INC","2859-61 N MASCHER ST, PHILADELPHIA PA 19133-3526","ONE BELMONT AVE  STE 703, BALA CYNWYD PA 19004-1610",NA,"JENNY LIM","Philadelphia County","Philadelphia City","Aug 1,2025","Oct 31,2026",-75.132077,39.9940646
"1520",39488,"R205","Restaurant (Liquor)","Active","TORRES EMPORIUM, INC.","TORRES EMPORIUM, INC.","4500 N 5TH ST, PHILADELPHIA PA 19140-2310","4500 N 5TH ST, PHILADELPHIA PA 19140-2310",NA,"MONICA TORRES","Philadelphia County","Philadelphia City","Oct 7,2025","Oct 31,2026",-75.1344447,40.019744
"1521",10211,"R1843","Restaurant (Liquor)","Active","MOONLIGHT CORPORATION","MOONLIGHT CORPORATION","4528-30-32 LANCASTER AVE, PHILADELPHIA PA 19131","4528-30-32 LANCASTER AVE, PHILADELPHIA PA 19131","KYUNG H MOON","VATTANAK PRAK","Philadelphia County","Philadelphia City","Sep 3,2025","Oct 31,2026",-75.2137093,39.9699476
"1522",69256,"R15500","Restaurant (Liquor)","Active","GOLDSMITH & GOLDSMITH INC","SHOTZ","7413-17 BUIST AVE, PHILADELPHIA PA 19153-1402","7413-17 BUIST AVE, PHILADELPHIA PA 19153-1402",NA,"SWANIE GOLDSMITH","Philadelphia County","Philadelphia City","Nov 18,2025","Oct 31,2026",-75.2433111,39.9111236
"1523",12188,"R6296","Restaurant (Liquor)","Active","FRED O, LTD.","LOCUST RENDEZVOUS","1415 LOCUST ST, PHILADELPHIA PA 19102-3810","1415 LOCUST ST, PHILADELPHIA PA 19102-3810",NA,"MARIA RECUPIDO","Philadelphia County","Philadelphia City","Jul 9,2025","Oct 31,2026",-75.1658005,39.9484718
"1524",71809,"R9675","Restaurant (Liquor)","Active","BROAD 600 LLC","BROAD 600 LLC","600 N BROAD ST, PHILADELPHIA PA 19130-3402","600 N BROAD ST, PHILADELPHIA PA 19130-3402","BROAD 600 LLC","BENJAMIN BYNUM","Philadelphia County","Philadelphia City","Jul 9,2025","Oct 31,2026",-75.1614065,39.9641412
"1525",92001,"R38465","Restaurant (Liquor)","Active","AI LIQ LIMITED LIABILITY COMPANY","EMMY SQUARED","624-632 S 5TH ST, PHILADELPHIA PA 19147","1215 SANSOM ST, PHILADELPHIA PA 19107","ZAKEN REALTY TRUST","SHANNON L NOECKER","Philadelphia County","Philadelphia City","Aug 21,2025","Oct 31,2026",-75.1510663,39.9411871
"1526",89291,"R192","Restaurant (Liquor)","Active","MCMENAMIN FAMILY SHOPRITE INC","SHOPRITE OF MORRELL PLAZA","9910 FRANKFORD AVE, PHILADELPHIA PA 19114","9910 FRANKFORD AVE, PHILADELPHIA PA 19114",NA,"RYAN A DOLAN","Philadelphia County","Philadelphia City","Aug 18,2025","Oct 31,2026",-74.9839082,40.0649622
"1527",58717,"R15727","Restaurant (Liquor)","Active","JOSE P INVESTORS L P","JOSE P INVESTORS L P","263 S 15TH ST, PHILADELPHIA PA 19102-5035","263 S 15TH ST, PHILADELPHIA PA 19102-5035",NA,"JOSEPH GUNN","Philadelphia County","Philadelphia City","Aug 27,2025","Oct 31,2026",-75.1661625,39.9476648
"1528",84096,"R6228","Restaurant (Liquor)","Active","5000 F & G INC","5000 F & G INC","5000 MARKET ST, PHILADELPHIA PA 19139-3504","7207 SELLER AVE, UPPER DARBY PA 19082","FIKER TESEMA & GIRMAYE JIRU","FIKER TESMA","Philadelphia County","Philadelphia City","Aug 14,2025","Oct 31,2026",-75.2211328,39.9592799
"1529",114415,"R6364","Restaurant (Liquor)","Active","LEEL CORP","3737 LOUNGE","3737 N 2ND ST, PHILADELPHIA PA 19140","3737 N 2ND ST, PHILADELPHIA PA 19140","3737 2ND ST, LLC","KEIRA Y RAGSDALE","Philadelphia County","Philadelphia City","Oct 31,2025","Oct 31,2026",-75.1310389,40.0077174
"1530",118675,"R11733","Restaurant (Liquor)","Active","MYENSO LLC","MYENSO LLC","2049 E HAGERT ST, PHILADELPHIA PA 19125-1631","2049 E HAGERT ST, PHILADELPHIA PA 19125-1631","2049 HAGERT LLC","MICHAEL Z BRENFLECK","Philadelphia County","Philadelphia City","Sep 5,2025","Oct 31,2026",-75.1280053,39.983994
"1531",66269,"R9029","Restaurant (Liquor)","Active","COOPERS BAR AND GRILL INC","COOPERS BAR AND GRILL INC","100 W WYOMING AVE, PHILADELPHIA PA 19140-1629","100 W WYOMING AVE, PHILADELPHIA PA 19140-1629","NAIMAH HOWARD","MUNIRAH HOWARD","Philadelphia County","Philadelphia City","Mar 25,2026","Oct 31,2026",-75.1245441,40.0213721
"1532",103852,"R1464","Restaurant (Liquor)","Active","3800 LIN INC","3800 LIN INC","3800 N 6TH ST, PHILADELPHIA PA 19140-3327","3000 N FRANKLIN ST, PHILADELPHIA PA 19133-2425","EL COQUI LOUNGE, INC.","HONGLAI LIN","Philadelphia County","Philadelphia City","Aug 28,2026","Oct 31,2026",-75.1387486,40.0093821
"1533",63530,"R7433","Restaurant (Liquor)","Active","TORRES PREMIER SERVICES INC","TORRES PREMIER SERVICES INC","4001 N REESE ST, PHILADELPHIA PA 19140-2507","4001 N REESE ST, PHILADELPHIA PA 19140-2507",NA,"JOSEPH TORRES","Philadelphia County","Philadelphia City","Oct 31,2025","Oct 31,2026",-75.1363666,40.0121639
"1534",93359,"R2056","Restaurant (Liquor)","Active","ACME MARKETS INC","THE FROSTED MUG","3200-09 RED LION RD, PHILADELPHIA PA 19114",NA,"ACADEMY PLAZA LLC 1","JESSICA M RICKEY-HEIM","Philadelphia County","Philadelphia City","Sep 3,2025","Oct 31,2026",-74.9933849,40.0794617
"1535",121281,"R1923","Restaurant (Liquor)","Active","1617 JFK LLC","CLASSIC CAKE","ONE PENN CENTER SUBURBAN STATION  1617 JOHN F KENNEDY BLVD, PHILADELPHIA PA 19103","ONE PENN CENTER SUBURBAN STATION  1617 JOHN F KENNEDY BLVD, PHILADELPHIA PA 19103","ONE PENN ASSOCIATES LP","GRANT D ROBINSON","Philadelphia County","Philadelphia City","Dec 16,2025","Oct 31,2026",-75.1673556,39.954052
"1536",96325,"R13691","Restaurant (Liquor)","Active","ACME MARKETS INC","THE FROSTED MUG","8200 ROOSEVELT BLVD, PHILADELPHIA PA 19104","8200 ROOSEVELT BLVD, PHILADELPHIA PA 19104","PENNYPACK SHOPPING CENTER INVESTORS LP","PHYLLIS C FOWLER","Philadelphia County","Philadelphia City","Aug 4,2026","Oct 31,2026",-75.0452345,40.0602891
"1537",61895,"R11210","Restaurant (Liquor)","Active","KGKS, INC.","KGKS, INC.","6412 1/2- 6414 RISING SUN AVE, PHILADELPHIA PA 19111-5229","6412 1/2- 6414 RISING SUN AVE, PHILADELPHIA PA 19111-5229",NA,"OLLIE FISHER","Philadelphia County","Philadelphia City","Dec 29,2025","Oct 31,2026",-75.0953441,40.0502026
"1538",133417,"R1337","Restaurant (Liquor)","Active","MI VIDA EAST MARKET LLC","MI VIDA EAST MARKET LLC","34 S 11TH ST UNIT 100-102 , PHILADELPHIA PA 19107-4912","34 S 11TH ST UNIT 100-102 , PHILADELPHIA PA 19107-4912","34 SOUTH 11TH STREET LP","MANUEL MARTINEZ III","Philadelphia County","Philadelphia City","Feb 13,2026","Oct 31,2026",-75.158684,39.9508991
"1539",115986,"R4467","Restaurant (Liquor)","Safekeeping","KAMPAR LLC","KAMPAR LLC","611 S 7TH ST, PHILADELPHIA PA 19147-2103","3 NORTH COLUMBUS  BLVD, PHILADELPHIA PA 19106","NOMAD REAL ESTATE HOLDING CO LLC","ANGELINA M Y  BRANCA","Philadelphia County","Philadelphia City","Oct 23,2025","Oct 31,2026",-75.153837,39.9418368
"1540",106536,"R1267","Restaurant (Liquor)","Safekeeping","MULHERINS EM LLC","MULHERINS EM LLC","1175 LUDLOW ST, PHILADELPHIA PA 19107","1523 N FRONT ST STE 300, PHILADELPHIA PA 19122","1100 MARKET STREET LP","SEAN R MCPAUL","Philadelphia County","Philadelphia City","Oct 27,2025","Oct 31,2026",-75.1587444,39.9510964
"1541",97459,"R12058","Restaurant (Liquor)","Safekeeping","11708 KJB LLC","11708 KJB LLC","11708 BUSTLETON AVE, PHILADELPHIA PA 19116-2516","11708 BUSTLETON AVE, PHILADELPHIA PA 19116-2516","POSEL ENTERPRISES","MARGARET MIECZKOWSKI","Philadelphia County","Philadelphia City","Sep 1,2026","Oct 31,2026",-75.0182164,40.1200061
"1542",13232,"R8385","Restaurant (Liquor)","Safekeeping","UVC, INC.","TRACK & TURF TAVERN","4202 CHESTER AVE, PHILADELPHIA PA 19104-4416","4202 CHESTER AVE, PHILADELPHIA PA 19104-4416",NA,"JOHN GILLESPIE","Philadelphia County","Philadelphia City","Apr 23,2026","Oct 31,2026",-75.2073117,39.9481109
"1543",36354,"R6335","Restaurant (Liquor)","Safekeeping","3649 GERMANTOWN AVENUE, INC.","3649 GERMANTOWN AVENUE, INC.","3649 GERMANTOWN AVE, PHILADELPHIA PA 19140-4255","3649 GERMANTOWN AVE, PHILADELPHIA PA 19140-4255",NA,"MARCELLA D SANDERS","Philadelphia County","Philadelphia City","Apr 29,2026","Oct 31,2026",-75.1504524,40.0088546
"1544",87594,"R3706","Restaurant (Liquor)","Safekeeping","S 19TH BUSINESS VENTURES LLC","S 19TH BUSINESS VENTURES LLC","38-40 S 19TH ST, PHILADELPHIA PA 19103","PO BOX 2235, PHILADELPHIA PA 19103","SUSAN & PETER ANTIPAS","JOSEPH MITCHELL","Philadelphia County","Philadelphia City","Oct 27,2025","Oct 31,2026",-75.172077,39.952321
"1545",113743,"R1367","Restaurant (Liquor)","Safekeeping","THE BOOZY MUTT LLC","THE BOOZY MUTT LLC","2633-2639 POPLAR ST, PHILADELPHIA PA 19130","1759 WATERLOO ST, PHILADELPHIA PA 19122","POPLAR PROPERTY LLC","ALEXANDER K OSBORNE","Philadelphia County","Philadelphia City","Jan 15,2026","Oct 31,2026",-75.1804787,39.9729784
"1546",130972,"SO60874","Special Occasion Permit","Active","MEXICAN CULTURAL EXPRESSIONS NATIONAL SOCIETY INC","MEXICAN CULTURAL EXPRESSIONS NATIONAL SOCIETY INC","65 CRYSTAL ST FL 2, NORTH ARLINGTON NJ 07031-5611","65 CRYSTAL ST FL 2, NORTH ARLINGTON NJ 07031-5611",NA,NA,"Philadelphia County","Philadelphia City","Sep 14,2026","Dec 31,2026",-74.1328724,40.7922612
"1547",125740,"SO57462","Special Occasion Permit","Active","GREEK ORTHODOX CATHEDRAL OF ST. GEORGE","GREEK ORTHODOX CATHEDRAL OF ST. GEORGE","256 S 8TH ST, PHILADELPHIA PA 19107-5731","256 S 8TH ST, PHILADELPHIA PA 19107-5731",NA,NA,"Philadelphia County","Philadelphia City","Apr 20,2026","Dec 31,2026",-75.1550397,39.9463873
"1548",134614,"SO62087","Special Occasion Permit","Active","LOVE EVERYBODY ADDICTS","LOVE EVERYBODY ADDICTS","4807 BLOOMFIELD DR, MEMPHIS TN 38125","4807 BLOOMFIELD DR, MEMPHIS TN 38125",NA,NA,"Philadelphia County","Philadelphia City","Jul 6,2026","Dec 31,2026",-89.7812528,35.0172945
"1549",128361,"SO59222","Special Occasion Permit","Active","PHILADELPHIA SHIP PRESERVATION GUILD","PHILADELPHIA SHIP PRESERVATION GUILD","301 S CHRISTOPHER COLUMBUS BLVD, PHILADELPHIA PA 19106-4328","3600 WELSH RD, PHILADELPHIA PA 19136",NA,NA,"Philadelphia County","Philadelphia City","Aug 14,2026","Dec 31,2026",-75.1415862,39.944592
"1550",130972,"SO60874","Special Occasion Permit","Active","MEXICAN CULTURAL EXPRESSIONS NATIONAL SOCIETY INC","MEXICAN CULTURAL EXPRESSIONS NATIONAL SOCIETY INC","65 CRYSTAL ST FL 2, NORTH ARLINGTON NJ 07031-5611","65 CRYSTAL ST FL 2, NORTH ARLINGTON NJ 07031-5611",NA,NA,"Philadelphia County","Philadelphia City","Aug 25,2026","Dec 31,2026",-74.1328724,40.7922612
"1551",120681,"SO56017","Special Occasion Permit","Active","NATIONAL LIBERTY MUSEUM","NATIONAL LIBERTY MUSEUM","321 CHESTNUT ST, PHILADELPHIA PR 19106-2707","321 CHESTNUT ST, PHILADELPHIA PR 19106-2707",NA,NA,"Philadelphia County","Philadelphia City","Apr 24,2026","Dec 31,2026",-75.1468394,39.9490658
"1552",127721,"SO58795","Special Occasion Permit","Active","MT AIRY USA CDC","MT AIRY USA CDC","6703 GERMANTOWN AVE STE 200, PHILADELPHIA PA 19119-2109","6703 GERMANTOWN AVE STE 200, PHILADELPHIA PA 19119-2109",NA,NA,"Philadelphia County","Philadelphia City","Jun 16,2026","Dec 31,2026",-75.1851728,40.0520405
"1553",135635,NA,"Brewery Storage","Pending","ALDUS BREWING COMPANY","ALDUS BREWING PHILADELPHIA STORAGE","3500 SCOTTS LN, PHILADELPHIA PA 19129-1836","3500 SCOTTS LN, PHILADELPHIA PA 19129-1836",NA,NA,"Philadelphia County","Philadelphia City",NA,NA,-75.1832828,40.0081293
"1554",134054,NA,"Brewery","Pending","FELLOWSHIP BEER COMPANY","FELLOWSHIP BEER COMPANY","1800 TASKER ST, PHILADELPHIA PA 19145","420 W MERMAID LANE, PHILADELPHIA PA 19118",NA,NA,"Philadelphia County","Philadelphia City",NA,NA,-75.1750124,39.9311802
"1555",135259,"R9050","Restaurant (Liquor)","Pending","MADISON 27 INC","MADISON 27 INC","1966-68 BRIDGE ST, PHILADELPHIA PA 19124-2125","1966-68 BRIDGE ST, PHILADELPHIA PA 19124-2125",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.0716712,40.016034
"1556",134266,"R211","Restaurant (Liquor)","Pending","ALLEY 1907 LLC","ALLEY 1907 LLC","1907 CHESTNUT ST, PHILADELPHIA PA 19103-3500","1907 CHESTNUT ST, PHILADELPHIA PA 19103-3500",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.1722162,39.952118
"1557",134110,"R3783","Restaurant (Liquor)","Pending","LOWPOST INC","LOWPOST INC","5500 RISING SUN AVE, PHILADELPHIA PA 19120-3011","5500 RISING SUN AVE, PHILADELPHIA PA 19120-3011",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.1162613,40.0331819
"1558",131123,"E4688","Eating Place Retail Dispenser (Malt)","Pending","ROSA MAE GALLON","CAROLINA MARKET","2637 W LEHIGH AVE, PHILADELPHIA PA 19132-3121","2637 W LEHIGH AVE, PHILADELPHIA PA 19132-3121",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2025",-75.1750529,39.9967074
"1559",135422,"R2780","Restaurant (Liquor)","Pending","TRU HIBACHI LLC","TRU HIBACHI LLC","PHILADELPHIA MARINE TRADE CENTER PIER 19 NORTH 2ND FLOOR EAST, PHILADELPHIA PA 19106-2489",NA,NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.145782,39.9493801
"1560",130285,"E884","Eating Place Retail Dispenser (Malt)","Pending","THREE J QV CORP","THREE J QV CORP","724 S 4TH ST, PHILADELPHIA PA 19147-3119","724 S 4TH ST, PHILADELPHIA PA 19147-3119",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2025",-75.1496926,39.9398489
"1561",133103,"R2410","Restaurant (Liquor)","Pending","ASMARA INC","ASMARA INC","5503-05-07 BALTIMORE AVE, PHILADELPHIA PA 19143-2821","621 CYPRESS LANE, MORTON PA 19070","KIFLEYE LLC","TSEGIE YEMANE","Philadelphia County","Philadelphia City",NA,"Oct 31,2025",-75.2338655,39.9475537
"1562",134633,"R5533","Restaurant (Liquor)","Pending","COPPER HILL BAR RESTAURANT INC","COPPER HILL BAR RESTAURANT","5052-56 CITY AVE, PHILADELPHIA PA 19131","5052-56 CITY AVE, PHILADELPHIA PA 19131",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.2313702,39.9985407
"1563",133138,"R4892","Restaurant (Liquor)","Pending","BAI WEI LLC","BAI WEI","1038 RACE ST, PHILADELPHIA PA 19107","1038 RACE ST, PHILADELPHIA PA 19107",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2025",-75.1572987,39.9554771
"1564",133947,"R4184","Restaurant (Liquor)","Pending","SPLIT LEVEL HOSPITALITY LLC","SPLIT LEVEL HOSPITALITY LLC","112 S 18TH ST, PHILADELPHIA PA 19103-4901","112 S 18TH ST, PHILADELPHIA PA 19103-4901",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2026",-75.1706748,39.9513118
"1565",132646,"R262","Restaurant (Liquor)","Pending","THE SLIDER COMPANY LLC","SLIDERS","2043 FRANKFORD AVE, PHILADELPHIA  PA 19125","2043 FRANKFORD AVE, PHILADELPHIA  PA 19125",NA,NA,"Philadelphia County","Philadelphia City",NA,"Oct 31,2025",-75.1294258,39.979358
"1566",134397,"AE61989","Alcohol Tax-Exempt","Active","GEMMA BIOTHERAPEUTICS INC","LILY GATEWAY LABS","2300 MARKET ST STE B, PHILADELPHIA PA 19103-3017","3025 JOHN F KENNEDY BLVD STE 220, PHILADELPHIA PA 19104-5976",NA,NA,"Philadelphia County","Philadelphia City","May 28,2026","Dec 31,2028",-75.1783517,39.9540039
"1567",58901,"AE893","Alcohol Tax-Exempt","Active","PHILADELPHIA VETERANS AFFAIRS MEDICAL CENTER","PHILADELPHIA VETERANS AFFAIRS MEDICAL CENTER","3900 WOODLAND AVE, PHILADELPHIA PA 19104-4551","3900 WOODLAND AVE, PHILADELPHIA PA 19104-4551",NA,NA,"Philadelphia County","Philadelphia City","Oct 3,2024","Dec 31,2028",-75.1998378,39.948754
"1568",129415,"AE59878","Alcohol Tax-Exempt","Active","THE WISTAR INSTITUTE OF ANATOMY & BIOLOGY","THE WISTAR INSTITUTE","3675 MARKET ST STE 101, PHILADELPHIA PA 19104-2897","3601 SPRUCE ST, PHILADELPHIA PA 19104",NA,NA,"Philadelphia County","Philadelphia City","Jan 7,2025","Dec 31,2028",-75.1950287,39.9561126
"1569",117318,"AL54645","Limited Distillery","Active","THE VERMOUTHERY, LLC","THE VERMOUTHERY","421 N 7TH ST, PHILADELPHIA PA 19123-3925","421 N 7TH ST, PHILADELPHIA PA 19123-3925","NE CALLOWHILL CENTER LLC","TIMOTHY S KWEEDER","Philadelphia County","Philadelphia City","Jun 17,2026","Dec 31,2026",-75.1499503,39.958844
